dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
13/01/2023,BD,"יחזקאל לב,ל",A rafeh was added on 22/08/2022 but not in our standard-but-abnormal ordering. The fix was to change gimel-sheva-rafeh to gimel-rafeh-sheva. The result is shown in the next column.,מִגְֿבֽוּרָתָם֙,
10/01/2023,S(A)K,"ישעיהו כה,י","Accent on the letter ד in ""וְנָד֤וֹשׁ"" (as found in AC and LC). Credit to Asael Reiter.",,
05/01/2023,S(A)K,"מל""ב ט,כ","Added dagesh to the letter י in ""וַיַּגֵּ֤ד"" (as found in AC and LC). Credit to anonymous reader at alhatorah.org.",,
05/01/2023,S(A)K,"מל""א ח,לו","Added meteg to ""עַֽל־אַרְצְךָ֔"" (as found in AC and LC [faint but definite]). Credit to anonymous contributor at Hebrew Wikisource.",,
03/01/2023,S(A)K,"אסתר ב,יא C",Slight tweak to documentation note in Column C about whether there is a closed parashah ({{סס}}) before this verse.,,
28/12/2022,S(A)K,"במדבר כו,כג","Added documentation note regarding lack of dagesh in ""וּפֻוָ֖ה"".",,
28/12/2022,S(A)K,"בראשית מו,יג","Updated documentation note regarding lack of dagesh in ""וּפֻוָ֖ה"".",,
15/12/2022,S(A)K,"בראשית לח,יז","Qamaz qatan in ""שׇׁלְחֶֽךָ"". Credit to anonymous reader at mg.alhatorah.org.",,
14/12/2022,S(A)K,"דניאל ב,לא","Removed dagesh from the letter ד in ""דִכֵּ֥ן""; LC has rapheh (although it has a slight blemish in the parchment which may be a scratch from erasure). Credit to Moshe Greenberg.",,
14/12/2022,S(A)K,"דניאל ב,כ","Removed maqaph between ""וְעַ֣ד עָלְמָ֑א""; there is no maqaph in LC. Credit to Moshe Greenberg.",,
13/12/2022,S(A)K,"עזרא ט,ד","Replaced accent mahpah with the accent yativ in ""כֹּ֚ל"", as it appears in LC and ב1. Credit to Moshe Greenberg.",,
13/12/2022,S(A)K,"דניאל ט,יב","Added parameter רווח=לא to קו""כ template, and a space after the template, in order to fix the spacing between the words as shown in Wikisource.",,
07/12/2022,S(A)K,"דניאל ו,כח","Changed accent to zaqef qaton in ""וּמַצִּ֔ל"", as found in LC and ב1 (versus the printed editions and Koren which have revia`). Credit to Moshe Greenberg.",,
07/12/2022,S(A)K,"שמ""א יח,יט","The consecutive words ""בְּעֵ֛ת תֵּ֛ת"" both with the accent tevir, as found in the Aleppo Codex and parallel manuscripts; the documentation note has been corrected and updated. Credit to Moshe Greenberg.",,
07/12/2022,S(A)K,"הושע יג,יד","Qamaz qatan in the letter ק of ""קׇֽטׇבְךָ֙"" within מ:קמץ template. Credit to Moshe Greenberg.",,
20/11/2022,S(A)K,"מל""ב כג,יב","Changed accent in ""מְנַשֶּׁ֗ה"" to revia` (one dot as in AC and LC). Credit to Daniel Holman.",,
20/11/2022,S(A)K,"מל""ב יט,ו","Changed accent in ""שָׁמַ֔עְתָּ"" to zaqef qaton (two dots as in AC and LC). Credit to Daniel Holman.",,
20/11/2022,S(A)K,"מל""ב א,ב","Changed accent in ""מַלְאָכִ֗ים"" to revia` (one dot as in AC and LC). Credit to Daniel Holman.",,
19/11/2022,S(A)K,"מל""א יז,יג",Corrected documentation note.,,
10/11/2022,S(A)K,"חבקוק ב,ח","Qamaz qatan in ""יְשׇׁלּ֖וּךָ"".",,
26/10/2022,S(A)K,"יהושע יז,ב","Removed dagesh in ""בֶן־יוֹסֵ֛ף"" as in AC and LC (both of which are clearly marked with rafeh although LC has a spot in the parchment not intended as a dot). Credit to Asael Reiter.",,
24/10/2022,S(A)K,"יהושע ח,ב","Added dagesh to ל in ""לִּֽירִיחוֹ֙"" as in AC and LC. Credit to Asael Reiter.",,
07/10/2022,S(A)K,"איוב לב,ב","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"איוב ג,ו","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"משלי ל,טז","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"משלי כד,יב","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"משלי ח,לד","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים קמב,ז","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים קיח,כז","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים נו,ט","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים נג,ו","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים נג,ה","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים מד,ד","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים לז,ז","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים כח,ג","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים יח,מד","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים יד,ד","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים ח,ג","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"תהלים ד,ז","Removed grey maqaph from word with ""oleh"" that also has an independent accent.",,
07/10/2022,S(A)K,"שמ""א ל,טו",Further corrections to documentation note (cf. 04/10/2022).,,
05/10/2022,S(A)K,"מל""ב יז,כד",Improved documentation note.,,
05/10/2022,S(A)K,"יחזקאל מז,א","Moved ""stress helper"" in ""וַיְשִׁבֵ֘נִי֮"" to the correct syllable.",,
04/10/2022,S(A)K,"שמ""א ל,טו","Added ""stress helper"" accent in ""הִשָּׁ֩בְעָה֩"" and a documentation note (credit to Daniel Holman).",,
07/09/2022,S(A)K,"דניאל ד,כז","Changed patah to qamaz in ""בִּתְקָ֥ף"" (as it appears in LC). Credit to Moshe Greenberg.",,
29/08/2022,S(A)K,"ישעיהו נד,א","Added meteg to the letter צ in ""וְצַֽהֲלִי֙"" (as it appears in AC [but not in LC]). Credit to David Kochav.",,
28/08/2022,S(A)K,"ישעיהו נא,טו","Added meteg to the letter א in ""וְאָֽנֹכִי֙"" (as it appears in AC and LC). Credit to David Kochav.",,
23/08/2022,S(A)K,"איוב לט,ב","Moved revi`a to the letter ת in ""וְ֝יָדַעְתָּ֗"" (as it appears in AC, and apparently also in LC, and in other manuscripts). The printed versions have it on the penultimate syllable (וְ֝יָדַ֗עְתָּ), although Van der Hought (Amsterdam, 1705) and derivative editions note ""וְ֝יָדַעְתָּ֗"" as an alternative reading. Credit to Moshe Greenberg.",,
22/08/2022,S(A)K,"דה""א כב,ד","Added maqaph to ""כִּֽי־הֵ֠בִ֠יאוּ"" (as it appears in AC and LC and some printed versions [others have כי with munah]). Credit to Moshe Greenberg.",,
22/08/2022,S(A)K,"משלי לא,כז",Added the letter ו to the ketiv of הילכות (qeri הֲלִיכ֣וֹת) as found in AC (there is no קרי וכתיב in LC). Credit to Moshe Greenberg.,,
22/08/2022,S(A)K,"משלי ו,לה","Added dagesh to ש of ""תַרְבֶּה־שֹּֽׁחַד"" (as it appears in AC and perhaps also in LC, plus in the printed versions). Credit to Moshe Greenberg.",,
22/08/2022,S(A)K,"יחזקאל לב,ל","Removed dagesh from ג of ""מִגְֿבֽוּרָתָם֙"" and added rafe in its place to mark the anomaly clearly for the reader (as it appears in AC and LC [compare to the previous verse in both manuscripts]). Credit to Moshe Greenberg.",,
22/08/2022,S(A)K,"יחזקאל כז,לו","Meteg instead of merkha in ""בָּֽעַמִּ֔ים"" (as it appears in AC and apparently also in LC [compare to the previous meteg on the same line]). Credit to Moshe Greenberg.",,
22/08/2022,S(A)K,"יחזקאל יא,ט","Merkha instead of tevir in ""וְעָשִׂ֥יתִי"" (as it appears correctly in AC and as was apparently intended in LC despite the extra dot [accidental extra hiriq?] to the left). Credit to Moshe Greenberg.",,
17/08/2022,S(A)K,"דה""א ו,לט","Moved the accent munah to the letter פ in ""לְמִשְׁפַּ֣חַת"" (as it appears correctly in AC; in LC the accent is misplaced). Credit to anonymous editor at Wikisource.",,
17/08/2022,S(A)K,special מיוחד,"Fixed a part of דברים טעם תחתון (דפוסים) which previously showed the wrong version. The words which were changed according to the correct version are ""לֹֽא־תַעֲשֶׂ֨ה כָל־מְלָאכָ֜ה אַתָּ֣ה{{לגרמיה}}וּבִנְךָֽ־וּבִתֶּ֣ךָ וְעַבְדְּךָֽ־וַאֲמָתֶ֗ךָ וְשׁוֹרְךָ֤ וַחֲמֹֽרְךָ֙ וְכָל־בְּהֶמְתֶּ֔ךָ"". Note that at Wikisource this was already corrected on 14/08/2022.",,
16/08/2022,S(A)K,"ישעיהו מג,יט","Added dagesh to the letter ת in ""תֵּדָע֑וּהָ"" (as it appears in AC and LC [the latter also has meteg]). Credit to Moshe Greenberg.",,
16/08/2022,S(A)K,"מל""ב כה,ז","Added dagesh to the letter ב in ""בַּֽנְחֻשְׁתַּ֔יִם"" (as it appears in AC and LC). Credit to Moshe Greenberg.",,
16/08/2022,S(A)K,"מל""ב יג,יז","Replaced mahpah accent with qadma in ""וַיֹּ֨אמֶר אֱלִישָׁ֤ע"" (as expected and as it appears in AC and apparently also in LC). Credit to Moshe Greenberg.",,
16/08/2022,S(A)K,"מל""ב ו,ח","Two dots for zaqeph qaton in ""לֵאמֹ֔ר"" (as it appears in AC and LC). Credit to Moshe Greenberg.",,
16/08/2022,S(A)K,"שמ""א ד,יט","One dot for revi`a instead of two dots for zaqeph qaton in ""אֶת־הַשְּׁמוּעָ֗ה"" (as it appears in AC and apparently also in LC [the latter also has defective spelling lacking ו]). Credit to Moshe Greenberg.",,
16/08/2022,S(A)K,"מל""א כ,כה","Merkha instead of munah in ""וְס֥וּס"" (as it appears in AC as opposed to LC). Credit to Moshe Greenberg.",,
16/08/2022,S(A)K,"מל""א י,ג","Removed dagesh from ""דָבָר֙"" (as it appears in the manuscripts with rafeh). Credit to Moshe Greenberg. Note that Breuer (Keter Yerushalayim) has dagesh (!).",,
16/08/2022,S(A)K,"שמ""ב כד,יג","Added maqaph to ""שֶׁבַע־שָׁנִ֣ים"" (as it appears in the manuscripts). Credit to Moshe Greenberg.",,
16/08/2022,S(A)K,"שמ""ב כד,ז","Added merkha to ""וַיֵּ֥צְא֛וּ"" (as it appears in AC and perhaps in LC). Credit to Moshe Greenberg.",,
14/08/2022,S(A)K,"שמ""ב כא,א","Removed maqaph and added merkha to the word ""עַ֥ל"" (following AC and perhaps LC [where the maqaph seems to be erased]). Credit to Moshe Greenberg.",,
14/08/2022,S(A)K,"שופטים טז,יח","Removed dagesh from ""דְלִילָ֗ה"" (as it appears in the manuscripts). Credit to Moshe Greenberg.",,
02/08/2022,S(A)K,"תהלים מד,יט","Added geresh muqdam in ""אֲ֝שֻׁרֵ֗ינוּ"" (as appears in the manuscripts). Credit to Asael Reiter. UXLC change 2022.08.02 - 1.",,
29/07/2022,S(A)K,"דניאל ה,כ","Removed shuruq dot from ו of ""הֶעְדִּ֥יו"" and added documentation note. Credit to Asael Reiter. UXLC change 2022.07.29 - 1.",,
24/07/2022,S(A)K,"תהלים סא,ט","Added geresh muqdam in ""נְ֝דָרַ֗י"" (as appears in the manuscripts). Credit to Moshe Greenberg. UXLC change 2022.07.08 - 10.",,
24/07/2022,S(A)K,"תהלים קלז,ט","Removed geresh muqdam (which does not appear in the manuscripts) from ""אֶֽת־עֹלָלַ֗יִךְ"". Credit to Moshe Greenberg. UXLC change 2022.07.08 - 8.",,
24/07/2022,S(A)K,"תהלים פג,יא","Removed dagesh (which does not appear in the manuscripts) from the ד of ""דֹ֗֝מֶן"". Credit to Moshe Greenberg. UXLC change 2022.07.08 - 7.",,
24/07/2022,S(A)K,"תהלים קיט,קע","Removed dagesh (which does not appear in the manuscripts) from the first ת of ""תְחִנָּתִ֣י"". Credit to Moshe Greenberg. UXLC change 2022.07.08 - 6.",,
24/07/2022,S(A)K,"תהלים צב,י",Removed superfluous paseq following a disjunctive accent which does not appear in the manuscripts. Credit to Moshe Greenberg. UXLC change 2022.07.08 - 5.,,
20/07/2022,S(A)K,"תהלים פט,נג","Removed geresh muqdam from ""לְעוֹלָ֗ם"", following AC; see discussion here. Credit to Moshe Greenberg.",,
18/07/2022,S(A)K,"תהלים פא,ו","Mahapakh was misplaced, now corrected in ""עֵד֤וּת""; the mistake was rooted in BHS via WLC/UXLC. Credit to Moshe Greenberg. UXLC change 2022.07.08 - 4.",,
13/07/2022,S(A)K,"ישעיהו לד,יא","Added rafeh in ""קַֽו־תֹֿ֖הוּ"" (based on Minhat Shai Isaiah 34:11). Credit to Moshe Greenberg.",,
13/07/2022,S(A)K,"יחזקאל כג,מב","Added rafeh in ""שָׁלֵ֣ו בָֿהּ֒"" (based on Minhat Shai Isaiah 34:11). Credit to Moshe Greenberg.",,
13/07/2022,S(A)K,"תהלים סח,יח","Added rafeh to ""אֲדֹנָ֥י בָֿ֝֗ם"" (based on Minhat Shai Isaiah 34:11) and expanded the documentation note. Credit to Moshe Greenberg.",,
10/07/2022,S(A)K,"תהלים נח,ז","Added meteg to ""הֲרׇס־שִׁנֵּ֥ימֽוֹ"" as in the Aleppo Codex (but not LC). Credit to Moshe Greenberg. (Note that the change was not implemented correctly on the initial date and was only fully implemented on 28/07/2022.)",,
09/07/2022,S(A)K,"תהלים נא,טז",Removed dagesh from ת of תְשׁוּעָתִ֑י. Credit to Moshe Greenberg. UXLC change 2022.07.08 - 1.,,
05/07/2022,S(A)K,"תהלים לה,יז",Removed dagesh from ת of תִ֫רְאֶ֥ה; the mistake was rooted in BHS via WLC/UXLC. Credit to Moshe Greenberg. UXLC change 2022.07.05 - 2.,,
05/07/2022,S(A)K,"תהלים י,ז",Added missing legarmeih; the mistake was rooted in BHS via WLC/UXLC. Credit to Moshe Greenberg. UXLC change 2022.07.05 - 1.,,
03/07/2022,S(A)K,"איוב ט,י","Added geresh muqdam in ""וְ֝נִפְלָא֗וֹת"" (as appears in the manuscripts). Credit to anonymous editor at Wikisource.",,
24/06/2022,S(A)K,"ירמיהו מו,כג",Added documentation note.,,
24/06/2022,S(A)K,"שמ""א טו,א",Added qamaz template and documentation note.,,
19/06/2022,S(A)K,"מל""ב יב,יב",Removed qamaz qatan along with its template.,,
13/06/2022,S(A)K,"שמ""ב כב,מ",Added to documentation note.,,
09/06/2022,BD,דברי הימים א ו נה,add missing close paren in doc-note,,
03/06/2022,S(A)K,README,Added link to Github project.,,
24/05/2022,S(A)K,"דברים לא,ה",Corrected documentation note.,,
21/05/2022,BD,תהלים יז יד,Use {{מ:לגרמיה}} in doc note instead of space & Unicode PASEQ.,,
04/05/2022,S(A)K,"שמ""ב ג,יב",Qamaz qatan in כרתה.,,
02/05/2022,S(A)K,"תהלים פו,ב",Qamaz qatan in the first word and added documentation note.,,
02/05/2022,BD,יחזקאל יד יד,rm ZWJ and remark about it. Added different remark. Result was x.,"דָּנִֵ֣אל (חיריק, צירה, ומונח מתחת לנו”ן, בסדר הזה)",
03/05/2022,BD,יחזקאל יד כ,rm ZWJ and remark about it. Added different remark. Result was x.,"דָּנִֵ֣אל (חיריק, צירה, ומונח מתחת לנו”ן, בסדר הזה)",
04/05/2022,BD,יחזקאל כח ג,rm 2 ZWJs from one word and remove the remark about them. Added different remark. Result was x.,"מִדָּֽנִֵּ֑אל (חיריק, צירה, ואתנחתא מתחת לנו”ן, בסדר הזה)",
02/05/2022,BD,"ויקרא כא,י",rm stray paren from x,ל=געיה אמצעית),
01/05/2022,S(A)K,"ויקרא כא,י","Simplified documentation note, no more use of special character ZWJ.",,
01/05/2022,S(A)K,"במדבר יז,כז",Added documentation note.,,
01/05/2022,S(A)K,"ויקרא ז,יב",Added documentation note.,,
01/05/2022,S(A)K,"שמות לח,כ",Added documentation note.,,
01/05/2022,S(A)K,"שמות לה,ג",Added documentation note.,,
01/05/2022,S(A)K,"שמות כא,ט",Added documentation note.,,
01/05/2022,S(A)K,"בראשית לב,יז",Moved accent to the letter י (correcting typo inherited from WLC).,,
30/04/2022,BD,מלכים ב ד ז,"change qamats qatan to plain qamats, resulting in x",בֻ͏ָנַ֔יִכי,
30/04/2022,BD,מלכים ב ד ז,"change ZWJ to CGJ, resulting in x",בֻ͏ׇנַ֔יִכי,
30/04/2022,BD,שיר השירים ג ה,"change ZWJ to CGJ, resulting in x",יְרוּשָׁלַ͏ִם֙,
30/04/2022,BD,תהלים קטו יח,Sync GS to what WS has: change {{נוסח||חלוקה={{ר0}}}} to {{ר0|רווח=לא}},,
29/04/2022,BD,אסתר ה יד,Removed extraneous double closing curliles: }},,
29/04/2022,BD,עזרא ו ט,"Expanded doc targ to be x, i.e. to include word after paseq",י֥וֹם{{מ:פסק}}בְּי֖וֹם,
29/04/2022,BD,tmpl doc,Updated doc for {{ר1}} tmpl to reflect 2 exceptions.,,
28/04/2022,S(A)K,"בראשית מא,מה",Updated documentation note.,,
28/04/2022,S(A)K,"במדבר כט,טו",Deleted documentation note (!).,,
28/04/2022,S(A)K,"שמות כו,ג",Updated documentation note.,,
28/04/2022,S(A)K,"שמות כז,ה",Updated documentation note.,,
28/04/2022,S(A)K,"ויקרא ח,יא",Updated documentation note.,,
28/04/2022,S(A)K,"ויקרא ח,כד",Updated documentation note.,,
28/04/2022,S(A)K,"ויקרא יד,כא",Updated documentation note.,,
28/04/2022,S(A)K,"במדבר לג,יד",Added documentation note.,,
28/04/2022,S(A)K,"דברים א,לט",Updated documentation note.,,
28/04/2022,S(A)K,"דברים יז,ז",Added documentation note.,,
28/04/2022,S(A)K,"דברים כח,א",Updated documentation note.,,
28/04/2022,S(A)K,"דברים כח,סא",Updated documentation note.,,
26/04/2022,S(A)K,"ישעיהו יא,א",Added documentation note.,,
23/04/2022,BD,במדבר ז ס,"change xiriq-etnaxta to etnaxta-CGJ-hiriq, in x in doc-note. I.e. make it look like the weird thing that this note is trying to describe.",ל=בִנְיָמ֑͏ִן,
08/04/2022,BD,תהלים קמו א,"""flatten"" the one nested doc-note into a single doc-note",,
04/06/2022,BD,דברי הימים ב כט יב,Added ב in דברי הימים ב כט יב in arg to פסקא באמצע פסוק template.,,
04/06/2022,BD,דברי הימים ב יז יד,Removed initial { (closing curly bracket) from דברי הימים ב יז יד arg to פסקא באמצע פסוק template.,,
04/06/2022,BD,דברי הימים ב ו יד,Added ב in דברי הימים ב ו יד in arg to פסקא באמצע פסוק template.,,
04/06/2022,BD,דברי הימים א כה ט,Added א in דברי הימים א כה ט in arg to פסקא באמצע פסוק template.,,
04/06/2022,BD,יחזקאל כז ג,Changed ב to ג in יחזקאל כז ג in arg to פסקא באמצע פסוק template.,,
04/06/2022,BD,ירמיהו לח כח,Changed כט to כח in ירמיהו לח כח in arg to פסקא באמצע פסוק template.,,
04/06/2022,BD,שמואל ב טז יג,Removed א from א ב in שמואל ב טז יג in arg to פסקא באמצע פסוק template.,,
04/06/2022,BD,בראשית לה כב,Changed לב to לה in בראשית לה כב in arg to פסקא באמצע פסוק template.,,
31/03/2022,BD,תהלים נז ט,"In x, use vav and then dagesh, not combined vav-with-dagesh.","מג""ה=ע֭וּרָֽה",
31/03/2022,BD,תהלים נו ה,normalize mark ordering to merkha-ole in x,א=דְּבָר֥֫וֹ,
31/03/2022,BD,תהלים יא א,normalize mark ordering to merkha-ole in x,א=לְדָ֥֫וִד,
20/03/2022,S(A)K,"אסתר ה,יד",Added documentation note.,,
08/03/2022,BD,everywhere,"In about 2000 places, change prefix of טעמי המקרא and טעמי המקרא-סוף to be מ: not תבנית:משתמש:Dovi/.",,
07/03/2022,S(A)K,"דברים כז,כ",Edited documentation.,,
07/03/2022,S(A)K,"ויקרא ז,כח",Edited Column C (removed //) so that the note will appear right next to the first word in the parashah.,,
07/03/2022,S(A)K,"ויקרא ז,כב",Edited Column C (removed //) so that the note will appear right next to the first word in the parashah.,,
07/03/2022,S(A)K,"שמות לד,א","Edited documentation in Column C (parashah space on which there is a note); removed // at the end is removed so that the note will appear right next to the first word in the parashah. In the end, the special note remains *outside* the documentation note just as it was before (as so will be all the rest as they are now).",,
24/02/2022,BD,דברים ה ו–טז,"use new dual cant. template, מ:כפול",,
24/02/2022,BD,"דברים ה,ח","add telisha-gedola helper to qof, changing x to y",פֹּ֠קֵד,פֹּ֠קֵ֠ד
24/02/2022,BD,"דברים ה,יג","add telisha-gedola helper to tav, changing x to y",וַ֠אֲמָתֶךָ,וַ֠אֲמָתֶ֠ךָ
23/02/2022,BD,שמות כ ב–יב,"use new dual cant. template, מ:כפול",,
23/02/2022,BD,"שמות כ,ד","add telisha-gedola helper to qof, changing x to y",פֹּ֠קֵד,פֹּ֠קֵ֠ד
14/02/2022,S(A)K,"איוב כח,ה",Tweaking/correcting indentations in Sifrei Emet.,,
14/02/2022,S(A)K,"משלי ל,יד",Tweaking/correcting indentations in Sifrei Emet.,,
14/02/2022,S(A)K,"משלי כד,יב",Tweaking/correcting indentations in Sifrei Emet.,,
14/02/2022,S(A)K,"משלי כג,לה",Tweaking/correcting indentations in Sifrei Emet.,,
13/02/2022,S(A)K,"תהלים קי,א","Removed superfluous double-slash ""//"" .",,
13/02/2022,S(A)K,"תהלים פח,א","Removed superfluous double-slash ""//"" .",,
13/02/2022,S(A)K,"תהלים פב,א","Removed superfluous double-slash ""//"" .",,
13/02/2022,S(A)K,"תהלים פד,ב","Removed superfluous double-slash ""//"" (in C).",,
13/02/2022,S(A)K,"תהלים עט,א","Removed superfluous double-slash ""//"" .",,
10/02/2022,S(A)K,"תהלים קח,ב",Expand note on open parashah following title that is a full verse.,,
10/02/2022,S(A)K,"תהלים ע,ב",Expand note on open parashah following title that is a full verse.,,
10/02/2022,S(A)K,"תהלים ס,ב",Tweaking/correcting indentations in Sifrei Emet. Schema is now ר1ר3ר1ר1.,,
10/02/2022,S(A)K,"תהלים מ,ו",Tweaking/correcting indentations in Sifrei Emet. Schema is now ר1ר3ר1.,,
10/02/2022,S(A)K,"תהלים כד,א",Tweaking/correcting indentations in Sifrei Emet. Schema is now ר1.,,
10/02/2022,S(A)K,"תהלים כג,ד",Tweaking/correcting indentations in Sifrei Emet. Schema is now ר1ר1ר2ר2.,,
08/02/2022,S(A)K,תהלים קמז ח,Removed ר0 template and added documentation note.,,
08/02/2022,S(A)K,תהלים קמא ד,Removed ר0 template and added documentation note.,,
03/02/2022,BD,בראשית לה כב,move x into each arg of מ:כפול,וַיֵּ֣לֶךְ,
02/02/2022,BD,שמות כ ד,separate args of נוסח using vertical bar ( | ),,
02/02/2022,BD,בראשית לה כב,"use new dual cant. template, מ:כפול",,
02/02/2022,BD,משלי ח לד,denormalized x (moved shin dot closer to shin),שֹׁמֵ֢֫עַֽ,
02/02/2022,BD,תהלים כב כו,denormalized x (moved dagesh closer to lamed),תְֽהִלָּ֫תִ֥י,
28/01/2022,BD,מיוחד special,"""denormalized"" Unicode, moving the following closer to letter: shin dot, sin dot, dagesh/mapiq",,
25/01/2022,S(A)K,שמות כ ד,Corrected documentation note.,,
25/01/2022,S(A)K,שמות כג כד,Added qamaz qatan and documentation note.,,
16/01/2022,BD,איוב יט טז,rm parens around x to match Wikisource,"וכך הכריעו במג""ה",
16/01/2022,BD,דברים כט כב,add missing doc. note starter x,{{נוסח|,
16/01/2022,BD,בראשית יד ח,add missing doc. note starter x,{{נוסח|,
16/01/2022,S(A)K,משלי ל טו,Changed paseq to legarmeih and tweaked documentation note.,,
16/01/2022,S(A)K,תהלים קמג ט,Changed legarmeih to paseq.,,
16/01/2022,S(A)K,תהלים קכה ג,Corrected the placing of internal verse division {{ר2}}.,,
15/01/2022,S(A)K,תהלים נה כד,Changed legarmeih to paseq.,,
15/01/2022,S(A)K,תהלים מד כד,Changed legarmeih to paseq.,,
13/01/2022,S(A)K,איוב יט טז,Moved geresh to stressed word in maqaf compound.,,
13/01/2022,S(A)K,ישעיהו מה יח,"Added second accent telisha gedolah (""stress helper"").",,
