dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
04/01/2022,S(A)K,משלי יט יט,Added qamaz qatan.,,
04/01/2022,S(A)K,ישעיהו מא כה,Added qamaz qatan.,,
04/01/2022,S(A)K,"שמ""א טז כב",Added qamaz qatan.,,
04/01/2022,S(A)K,שופטים יב ו,Added qamaz qatan.,,
04/01/2022,S(A)K,יהושע ט ז,Added qamaz qatan.,,
03/01/2022,S(A)K,יחזקאל כט יא,Added qamaz qatan to 2nd תעבר-בה.,,
18/12/2021,S(A)K,דברים כט כב,"Changed קו""כ-אם template to כו""ק (basically adding a new קרי וכתיב) and changed documentation note following correspondence with Yosef Ofer.",,
18/12/2021,S(A)K,בראשית יד ח,"Changed קו""כ-אם template to כו""ק (basically adding a new קרי וכתיב) and changed documentation note following correspondence with Yosef Ofer.",,
18/12/2021,S(A)K,בראשית יד ב,"Changed קו""כ-אם template to כו""ק (basically adding a new קרי וכתיב) and changed documentation note following correspondence with Yosef Ofer.",,
16/12/2021,S(A)K,"דה""א כט טז",Removed meteg from ההמון.,,
15/12/2021,BD,מיוחד special,Replaced 2459 instances of regexp \n (newline) with // (double forward slash). Remaining work is the hard part: denormalize Hebrew to standard-but-not-normal form.,,
13/12/2021,BD,דברים ה טז,Use מ:טעם ומתג באות אחת not שני טעמים באות אחת.,,
13/12/2021,BD,דברים ה ו,Use מ:טעם ומתג באות אחת not שני טעמים באות אחת.,,
13/12/2021,BD,שמות כ יב,Use מ:טעם ומתג באות אחת not שני טעמים באות אחת.,,
13/12/2021,BD,שמות כ ט,Use מ:טעם ומתג באות אחת not שני טעמים באות אחת.,,
13/12/2021,BD,שמות כ ב,Use מ:טעם ומתג באות אחת not שני טעמים באות אחת.,,
13/12/2021,BD,בראשית לה כב,Use מ:טעם ומתג באות אחת not שני טעמים באות אחת.,,
13/12/2021,BD,"דה""א טז תתת","Moved cell C to ""מיוחד special"" tab. Filled cell C with ending <noinclude>...</noinclude> from Wikisource. These are 7 of the 8 chapters containing ""song"" sections. (The 8th song chapter is the chapter containing shirat hayam and it was already done way back on Aug 30 by Avi.)",,
13/12/2021,BD,אסתר ט תתת,"Moved cell C to ""מיוחד special"" tab. Filled cell C with ending <noinclude>...</noinclude> from Wikisource. These are 7 of the 8 chapters containing ""song"" sections. (The 8th song chapter is the chapter containing shirat hayam and it was already done way back on Aug 30 by Avi.)",,
13/12/2021,BD,קהלת ג תתת,"Moved cell C to ""מיוחד special"" tab. Filled cell C with ending <noinclude>...</noinclude> from Wikisource. These are 7 of the 8 chapters containing ""song"" sections. (The 8th song chapter is the chapter containing shirat hayam and it was already done way back on Aug 30 by Avi.)",,
13/12/2021,BD,"שמ""ב כב תתת","Moved cell C to ""מיוחד special"" tab. Filled cell C with ending <noinclude>...</noinclude> from Wikisource. These are 7 of the 8 chapters containing ""song"" sections. (The 8th song chapter is the chapter containing shirat hayam and it was already done way back on Aug 30 by Avi.)",,
13/12/2021,BD,שופטים ה תתת,"Moved cell C to ""מיוחד special"" tab. Filled cell C with ending <noinclude>...</noinclude> from Wikisource. These are 7 of the 8 chapters containing ""song"" sections. (The 8th song chapter is the chapter containing shirat hayam and it was already done way back on Aug 30 by Avi.)",,
13/12/2021,BD,יהושע יב תתת,"Moved cell C to ""מיוחד special"" tab. Filled cell C with ending <noinclude>...</noinclude> from Wikisource. These are 7 of the 8 chapters containing ""song"" sections. (The 8th song chapter is the chapter containing shirat hayam and it was already done way back on Aug 30 by Avi.)",,
13/12/2021,BD,דברים לב תתת,"Moved cell C to ""מיוחד special"" tab. Filled cell C with ending <noinclude>...</noinclude> from Wikisource. These are 7 of the 8 chapters containing ""song"" sections. (The 8th song chapter is the chapter containing shirat hayam and it was already done way back on Aug 30 by Avi.)",,
12/12/2021,BD,דברים ה טז,Stopped using שני ... אחת template to implement x. (It is not needed.),וְלֹ֣֖א,
12/12/2021,BD,דברים ה יד,Stopped using שני ... אחת template to implement x. (It is not needed.),בְּיָ֥֤ד,
12/12/2021,BD,דברים ה יג,Stopped using שני ... אחת template to implement x. (It is not needed.),הַשְּׁבִיעִ֔֜י,
12/12/2021,BD,דברים ה ט,Stopped using שני ... אחת template to implement x. (It is not needed.),וְעֹ֥֤שֶׂה,
12/12/2021,BD,בראשית לה כב,Stopped using שני ... אחת template to implement x. (It is not needed.),רְאוּבֵ֗֔ן,
12/12/2021,BD,מלכים ב יז יג,"In doc. note, use x instead of שני ... אחת; use ‹› instead of <>. These are changes 4 & 5 of 5 like this.",שֻׁ֠+ש֜בוּ,
12/12/2021,BD,בראשית ה כט,"In doc. note, use x instead of שני ... אחת; use ‹› instead of <>. These are changes 4 & 5 of 5 like this.",זֶ֠+ז֞ה,
12/12/2021,BD,בראשית לה כב,"In doc. note, use plus (+) notation instead of  שני ... אחת template. This is change 3 of 5 like this.",רְאוּבֵ֔+ב֗ן (רְאוּבֵ֔֗ן),
12/12/2021,BD,שמות כ יב,"In doc. note, use plus (+) notation instead of  שני ... אחת template. Also add final xet (ח), which was missing. This is change 2 of 5 like this.",תִּֿרְצַ֖+צָֽח (תִּֿרְצַ֖͏ָֽח),
12/12/2021,BD,איוב יא יג,add ב prefix in x,(וכן במכון ממרא!),
12/12/2021,BD,בראשית יז כ,"Removed the ה that I added, reverting ראו את ההערה הנוסח to ראו את הערה הנוסח. And, changed final ה to ת, yielding הערת.",,
12/12/2021,BD,21 places in Pr & Jb,rm 2nd רווח=לא from 21 cases of ר0|רווח=לא|רווח=לא,"Pr6:14, 8:29, 25:13; Jb4:16, 5:5, 10:3, 10:17, 10:22, 12:3, 12:6, 14:13, 15:28, 19:27, 19:29, 24:24, 28:3, 28:4, 32:11, 34:19, 34:29, 39:25",
12/12/2021,BD,צפניה ב טו,"In doc. note, use x instead of שני ... אחת; use ‹› instead of <>.  This is change 1 of 5 like this.",זֹ֠+ז֞את,
11/12/2021,BD,עזרא ב לו,remove line breaks (//) (double forward slash) around פסקא באמצע פסוק.,,
11/12/2021,BD,שמואל ב כד יא,remove line breaks (//) (double forward slash) around פסקא באמצע פסוק.,,
11/12/2021,BD,שמואל א כ כז,remove line breaks (//) (double forward slash) around פסקא באמצע פסוק.,,
11/12/2021,BD,שמואל א טז יב,remove line breaks (//) (double forward slash) around פסקא באמצע פסוק.,,
08/12/2021,BD,דברים ה ו,Use new templates to encode QUPO words.,,
08/12/2021,BD,דברים ה ז,Use new templates to encode QUPO words.,,
08/12/2021,BD,שמות כ ב,Use new templates to encode QUPO words.,,
08/12/2021,BD,שמות כ ג,Use new templates to encode QUPO words.,,
07/12/2021,BD,בראשית מד טז,Sync documentation note with Wikisource. Mostly this meant adding the word מלעיל (in parens).,{{נוסח|הִנֶּ֤נּוּ|=ל (מלעיל)|הקלדה=הִנֶּנּ֤וּ (טעות בעקבות BHS)}},
07/12/2021,BD,בראשית לה כב,"Sync documentation note with Wikisource. Mostly this meant moving doc out of ""comment on empty string"" to comment on פסקא באמצע פסוק.",,
05/12/2021,S(A)K,יהושע כא לה,Further changes (simplification) to the same documentation note.,,
04/12/2021,S(A)K,יהושע כא לה,Updated documentation note.,,
03/12/2021,BD,בראשית לב יח,Add אאא in phrase לפי אאא הרב ירמיהו וידר in doc note.,ויינברג (3.2.3.2) וכך נשמע גם בקריאתו של,
03/12/2021,BD,בראשית יז כ,"Changed הערה to ההערה in the phrase x based on my very limited understanding of Hebrew. ההערה is what Wikisource has, although Wikisource did not have הנוסח (it now does).",ראו את ההערה הנוסח בתחילת פרשת כי תשא,
03/12/2021,BD,בראשית ה כט,Added documentation sub-note x.,"הקלדה=זֶ֠ה (תלישא בלבד!) ואף העירו בגירסאות קודמות, אמנם רואים גם את הגרשיים בכתי""ל.",
02/12/2021,BD,דברים יח יד,"Added two question marks to documentation note, reflecting brown-speck uncertainty in L.",ל?=נָ֛תַן (בנקודת תביר?!),
02/12/2021,BD,בראשית לט יט,"Added two question marks to documentation note, reflecting brown-speck uncertainty in L.","ל?=עָ֥שָׂהּ (נקודת מפיק בה""א?!)",
02/12/2021,S(A)K,דברים א לג,Corrected documentation note.,,
02/12/2021,S(A)K,במדבר י ח,Corrected documentation note.,,
02/12/2021,S(A)K,במדבר ג כז,Corrected documentation note.,,
02/12/2021,S(A)K,במדבר ג ו,Corrected documentation note.,,
02/12/2021,S(A)K,ויקרא כז כח,Corrected documentation note.,,
02/12/2021,S(A)K,ויקרא ו ב,Added rafeh to the note as well.,,
30/11/2021,S(A)K,בראשית לד כח,Updated documentation note.,,
29/11/2021,S(A)K,בראשית טו ה,Added documentation note.,,
29/11/2021,S(A)K,דברים כ יב,Slight modification to documentation note.,,
29/11/2021,S(A)K,דברים לג כו,Slight modification to documentation note.,,
28/11/2021,BD,שמות יג יד,Added x & y (shown next columns),"בהערה על פעלי ""אֶפְעָל""",שם
27/11/2021,BD,עובדיה א יא,Added documentation לגבי הקמץ הקטן ראו ויינברג 3.2.1.3.,,
27/11/2021,BD,תהלים ל ד,"In documentation, rm single quote from ביו""'ד to make ביו""ד; add ץ to קמ to make קמץ.",,
26/11/2021,S(A)K,"שמ""א א,ט ""אׇכְלָ֥הֿ""; שמ""א כ,כ ""צִדָּ֣הֿ""; מל""א יד,יב ""בְּבֹאָ֥הֿ""; מל""ב ח,ו ""עָזְבָ֥הֿ""; ישעיהו יח,ה ""נִצָּ֑הֿ""; ישעיהו כא,ב ""כׇּל־אַנְחָתָ֖הֿ""; ישעיהו כג,יז ""לְאֶתְנַנָּ֑הֿ""; ישעיהו ל,כז ""מַשָּׂאָ֑הֿ""; ישעיהו ל,לב ""מֽוּסָדָ֔הֿ""; ישעיהו מה,ו ""וּמִמַּ֣עֲרָבָ֔הֿ""; ישעיהו סה,יח ""גִּילָ֖הֿ""; ירמיהו ו,ו ""עֵצָ֔הֿ""; יחזקאל טז,מד ""כְּאִמָּ֖הֿ""; יחזקאל כא,טז ""לְמׇרְטָ֖הֿ""; יחזקאל כד,ו ""חֶלְאָתָ֣הֿ""; יחזקאל כז,כ ""לְרִכְבָּֽהֿ׃""; יחזקאל לט,טז ""הֲמוֹנָ֖הֿ""; יחזקאל מז,י ""לְמִינָהֿ֙""; הושע ט,י ""כְּבִכּוּרָ֤הֿ""; עמוס א,יא ""שְׁמָ֥רָהֿ""; צפניה ב,יד ""אַרְזָ֖הֿ""; זכריה ד,ז ""הָרֹאשָׁ֔הֿ""; תהלים מח,יד ""לְֽחֵילָ֗הֿ""; משלי יב,כח ""נְתִיבָ֣הֿ""; משלי כא,כב ""מִבְטֶחָֽהֿ׃""; איוב לא,כב ""מִקָּנָ֥הֿ""; איוב לא,כב ""מִשִּׁכְמָ֣הֿ""; איוב לג,ה ""עֶרְכָ֥הֿ""; רות ב,יד ""וַיֹּ֩אמֶר֩ לָ֨הֿ""; עזרא ו,ב ""דִּכְרוֹנָֽהֿ׃"".",Added rafeh mark in 29 different verses throughout the books of Nevi'im and Ketuvim. In Job 31:22 it was added twice.,,
25/11/2021,S(A)K,"שמות ב,ג ""וַתַּחְמְרָ֥הֿ""; שמות ט,יח ""הִוָּסְדָ֖הֿ""; ויקרא ו,ב ""מוֹקְדָ֨הֿ""; ויקרא יב,ד ""טׇהֳרָ֑הֿ""; ויקרא יב,ה ""טׇהֳרָֽהֿ""; ויקרא יב,ז ""וְטָהֲרָ֖הֿ""; ויקרא יג,ד ""וּשְׂעָרָ֖הֿ""; ויקרא יג,כא ""וּשְׁפָלָ֥הֿ""; ויקרא יג,כו ""וּשְׁפָלָ֥הֿ""; ויקרא יט,כ ""חֻפְשָׁ֖הֿ""; ויקרא כ,טז ""לְרִבְעָ֣הֿ""; ויקרא כו,לד ""הׇשַּׁמָּ֔הֿ""; ויקרא כו,לה ""הׇשַּׁמָּ֖הֿ""; ויקרא כו,מג ""בׇּהְשַׁמָּהֿ֙""; במדבר טו,כח ""בְּחֶטְאָ֥הֿ""; במדבר טו,לא ""עֲוֺנָ֥הֿ""; דברים לג,כז ""מְעֹנָהֿ֙"".",Added rafeh mark in 17 different verses throughout the Torah. In Leviticus 26:35 there is also a slight tweak to the documentation note (ASCII plain double quote).,,
25/11/2021,S(A)K,דברים ה ח,Added documentation note on תעבדם.,,
25/11/2021,S(A)K,שמות כ ד,Added documentation note on תעבדם.,,
25/11/2021,BD,משלי ח לד,Moved gray maqaf & 2nd atom out of doc target (doc 1st arg). Also changed 201D (right dbl. quot.) (curvy) to plain old ASCII double quote (straight).,{{מ:מקף אפור}}לִ֥י,"Even though ASCII dbl. quot. is ugly, it is easy to enter and is our standard. And 201D isn't real gershayim punctuation anyway! These changes are to sync with what's in Wikisource, choosing to make the change in this ""direction,"" i.e. change the Google Sheet, because I think what's in Wikisource is preferred in this case."
25/11/2021,S(A)K,"דברים ו,כ; דברים יד,כו; ירמיהו כג,לג; איוב מ,ז; איוב מב,ד","Unified the imperfect (future) form of the verb שאל in six places, so that they all have long qamaz. The first instance (Exodus 13:14) has no change. The last five instances now have a short note referring to that verse. Previously the last five had the word inside the מ:קמץ template or lacked a note.",,
25/11/2021,S(A)K,"בראשית יז,כג; בראשית כח,טו; שמות יד,ה; שמות כא,כו; שמות כג,כ; שמות כה,י; שמות לח,יח; יהושע ה,א; שופטים ט,יב; שמ""א כב,טו; שמ""א כב,יז; שמ""א כד,י; שמ""א כט,ג; מל""א ד,יב; מל""א יא,א; מל""ב ח,ו; ישעיהו ה,ט; ישעיהו יט,יז; ישעיהו ל,יב; ירמיהו מט,יא; יחזקאל ה,ז; יחזקאל טז,יח; יחזקאל כג,מא; יחזקאל כז,יא; יחזקאל לב,כ; נחום ב,ד; תהלים קלט,טו; משלי כא,יג; איוב לג,כג; איכה ג,יט; נחמיה ז,ז; דה""ב לו,כא","Added multiple qamaz qatan (16 more places); in Isaiah 30:12 the qq appears within a template, and in Ezekiel 32:20 there is a change in the documentation template.",,
24/11/2021,S(A)K,"בראשית יז,כג; בראשית כח,טו; שמות יד,ה; שמות כא,כו; שמות כג,כ; שמות כה,י; שמות לח,יח; יהושע ה,א; שופטים ט,יב; שמ""א כב,טו; שמ""א כב,יז; שמ""א כד,י; שמ""א כט,ג; מל""א ד,יב; מל""א יא,א; מל""ב ח,ו",Added multiple qamaz qatan (16 places),,
24/11/2021,BD,שיר השירים ד ג,added the parenthetical phrase x after דפוס ונציה,"(ובעוד שני כתבי־יד שנבדקו ע""י ברויאר)",
23/11/2021,BD & S(A)K,במדבר ג כז,"Changed qamats to qq in documentation note, then reverted.",ל=הָֽעׇזִּיאֵלִ֑י,
23/11/2021,BD,רות א ג,Changed qamats to qq in x (vayamot),וַיָּ֥מׇת (וַ יָּ֥ מׇ ת),
23/11/2021,BD,רות ב י,Changed qamats to qq in x (nokhriyah),נׇכְרִיָּֽה׃,
22/11/2021,BD,דניאל ד ד,Changed qamats to qq in x (oliyon),עׇלִּ֗ין,
22/11/2021,S(A)K,בראשית לו לד,Changed qamats to qamats qatan.,(12 of 12),
22/11/2021,S(A)K,שופטים כא כב,Changed qamats to qamats qatan.,(11 of 12),
22/11/2021,S(A)K,ישעיהו מד כג,Changed qamats to qamats qatan.,(10 of 12),
22/11/2021,S(A)K,ישעיהו מט יג,Changed qamats to qamats qatan.,(9 of 12),
22/11/2021,S(A)K,ישעיהו נד א,Changed qamats to qamats qatan.,(8 of 12),
22/11/2021,S(A)K,ירמיהו לא ו,Changed qamats to qamats qatan.,"(7 of 12) Note that this is verse 7 in some editions, not verse 6.",
22/11/2021,S(A)K,ירמיהו נ כו,Changed qamats to qamats qatan.,(6 of 12),
22/11/2021,S(A)K,נחום ב א,Changed qamats to qamats qatan.,(5 of 12),
22/11/2021,S(A)K,צפניה ג יד,Changed qamats to qamats qatan.,(4 of 12),
22/11/2021,S(A)K,זכריה ב יד,Changed qamats to qamats qatan.,(3 of 12),
22/11/2021,S(A)K,"דה""א א נ",Changed qamats to qamats qatan.,(2 of 12),
22/11/2021,S(A)K,"דה""א כג כב",Changed qamats to qamats qatan.,(1 of 12),
22/11/2021,S(A)K,עזרא ד יד,Changed space to maqaf in x. Added documentation note.,אֲֽרִֽיךְ־לַ֖נָא,
22/11/2021,S(A)K,עזרא ד ג,Moved accent munah to the letter כ in לא לכם and added documentation note.,,
22/11/2021,S(A)K,מלכים א ח יא,Corrected accent in the word מפני from merkha to munah; based on AC and LC (credit to Michael Escott).,,
17/11/2021,S(A)K,שמות טו ב,Added qamats qatan.,,
19/11/2021,S(A)K,במדבר כו ב,Updated documentation note.,,
17/11/2021,S(A)K,תהלים קיט קטז,Added qamats qatan.,,
17/11/2021,S(A)K,תהלים קיח יד,Added qamats qatan.,,
17/11/2021,S(A)K,תהלים פו טז,Added qamats qatan.,,
17/11/2021,S(A)K,תהלים לב ז,Added qamats qatan.,,
17/11/2021,S(A)K,תהלים ד ב,Added qamats qatan.,,
17/11/2021,S(A)K,בראשית ב י,Updated documentation note.,,
16/11/2021,S(A)K,תהלים ט יד,Added to documentation note.,,
16/11/2021,S(A)K,תהלים לח כא,Changed qamats to qamats qatan and added documentation note.,,
16/11/2021,BD,תהלים קלז ג,Changed {{אתנח הפוך}} to {{גלגל}}.,,
16/11/2021,BD,תהלים נו יד,Changed {{אתנח הפוך}} to {{גלגל}}.,,
16/11/2021,BD,תהלים קה כ,Add dagesh to yod patax in x.,וַיַּתִּירֵ֑הוּ,
14/11/2021,S(A)K,תהלים קיט יד,Added documentation note on the word x.,שַּׂ֗שְׂתִּי,
11/11/2021,BD,תהלים עט י,decompose letter and dagesh in recent change,,
11/11/2021,S(A)K,תהלים קמז ב,Removed meteg from x.,יְרֽוּשָׁלִַ֣ם,
11/11/2021,S(A)K,תהלים עט א,Removed meteg from x.,אֶת־יְרוּשָׁלַ֣͏ִם,
11/11/2021,S(A)K,תהלים עט י,Added קרי וכתיב within documentation template.,,
08/11/2021,BD,תהלים לח י,Added reviaʿ and meteg doc,{{נוסח|אֲֽדֹנָ֗י|א=געיה ימנית}},
03/11/2021,S(A)K,תהלים כד ג,Added reviaʿ in וּמִי־יָ֝ק֗וּם (missing in L).,,
03/11/2021,S(A)K,תהלים כא ט,Added reviaʿ in יְ֝מִֽינְךָ֗ (missing in L).,,
03/11/2021,S(A)K,תהלים כא ו,Added reviaʿ in וְ֝הָדָ֗ר (missing in L).,,
02/11/2021,BD,תהלים מה יח,Moved reviaʿ back from shuruq to dalet in yehodukha (יְ֝הוֹד֗וּךָ),,
14/10/2021,BD,תהלים פו ב,"In note, changed accent order to merkha-then-oleh: {{נוסח|אָ֥֫נִי|א=אָ֥נִי}}.",,
14/10/2021,BD,תהלים ל יב,"In note, changed accent order to merkha-then-oleh: {{נוסח|לִ֥֫י|א=לִ֥י}}.",,
14/10/2021,BD,משלי ח לד,"In note, changed YBY to AH in the word שֹׁמֵ֢֫עַֽ.",,
14/10/2021,S(A)K,תהלים ד ז,"Moved ""oleh"" to the letter נ in ""מִֽי־יַרְאֵ֢נ֫וּ־ט֥וֹב"".",,
13/10/2021,BD,משלי ח לד,Changed גלגל to אתנח הפוך. Wikisource was fixed long ago.,,
04/10/2021,S(A)K,אסתר ב כא,Moved silluq to the letter ר as expected and as found in L; correcting error inherited from BHS.,,
26/09/2021,S(A)K,תהלים פו ב,"In note, added ""oleh"": {{נוסח|אָ֥֫נִי|א=אָ֥נִי}}.",,
26/09/2021,S(A)K,תהלים ל יב,"In note, added ""oleh"": {{נוסח|לִ֥֫י|א=לִ֥י}}.",,
14/09/2021,BD,תורה,Added עלייה ראשונה=כן arg to the relevant 54 uses of the מ:פסוק template.,,
13/09/2021,BD,משלי כא כט,Made doc explicit with נוסח template.,,
13/09/2021,BD,ישעיהו מד כד,Made doc explicit with נוסח template.,,
13/09/2021,BD,misc,Made all 15 uses of מ:אות מנוקדת give only 1 argument.,,
13/09/2021,S(A)K,ישעיהו לז ל,Fixed the embedding of templates.,,
10/09/2021,BD,תורה,Standardized on תבנית:טעמי המקרא באינטרנט. This meant 185 changes.,,
10/09/2021,BD,תהלים ל ד,Added mem-colon (מ:) to the 1 remaining use of the קמץ template.,,
09/09/2021,BD,"איכה, קהלת, ישעיהו, מלאכי",Replaced all 4 {{צבע גופן|אפור|אאא}} with {{מ:סיום בטוב|אאא}}.,,
07/09/2021,BD,תורה וחמש מגילות,Replaced all 29 {{גודל גופן|2|{{הערה|אאא}}}} with {{מ:הערה|אאא}}.,,
06/09/2021,BD,אסתר ט,Removed בעבודה template call & two forward slashes from row 0 (zero) column C.,,
04/09/2021,BD,תהלים,"Added mem-colon (מ:) to all 5 uses of רווח לספר בתהלים template. Those uses are at the start of chapters א, מב, עג, צ, קז.",,
04/09/2021,BD,כתובים אחרונים,Added mem-colon (מ:) to all 12 uses of רווח בתרי עשר template.,,
01/09/2021,S(A)K,דברים לא כט-ל,Corrected inconsistencies in the tags which mark the beginning and ending of lines in Torah scrolls right before the Song of Moses.,,
30/08/2021,S(A)K,שמות טו תתת,Removed no-longer relevant footnote from the code.,,
26/08/2021,S(A)K,צפניה ב ט,"The word ""יבזום"" with qamats qatan.",,
07/08/2021,BD,שמואל ב כג ט,"Added pashta, making בַּפְּלִשְׁתִּים֙. Perhaps missing pashta was ""inherited"" from UXLC.",,
07/08/2021,BD,תהלים סח יג,"Added maqaf, making וּנְוַת־. Perhaps missing maqaf was ""inherited"" from UXLC.",וּנְוַת־{{נוסח|בַּ֝֗יִת|...}},
30/07/2021,S(A)K,"ישעיהו יד,יד; ישעיהו נח,יד; עמוס ד,יד; מיכה א,ג; איוב ט,ח.","The word במתי occurs in six places: Deuteronomy 32:13, Isaiah 14:14, Isaiah 58:14, Amos 4:13, Micah 1:3, Job 9:8. In the last five places a documentation note has been added or changed to refer to information about the word provided in the note at Deuteronomy 32:13 (regarding the qamats in the letter ב). In the last three places qamats qatan has been changed to qamats.",,
05/07/2021,S(A)K,נחום ג ט,qamats qatan in עצמה.,,
05/07/2021,S(A)K,נחום ג ז,qamats qatan in שדדה.,,
16/06/2021,S(A)K, מלאכי ב ז,Added documentation note about meteg in letter ה.,,
24/05/2021,S(A)K,הושע יב ט,Holam haser in עָוֺ֥ן.,,
30/03/2021,BD,RDM & tmpl,"In README & template documentation, standardized on masorah (ma). Sometimes mesorah (me) was used.",,
26/03/2021,S(A)K,README,Some general updates and improvements to the README sheet.,,
23/03/2021,BD,שמות כ ג,Removed space after doc of paseq (***),בַּשָּׁמַ֣֙יִם֙{{נוסח|{{מ:פסק}}|1}}***{{נוסח|מִמַּ֔֡עַל|2|3}},
23/03/2021,BD,עזרא ד ב,Removed space after kq ending in legarmeih,"{{כו""ק|ולא|וְל֣וֹ{{מ:לגרמיה}}}}אֲנַ֣חְנוּ",
23/03/2021,BD,דניאל ט יב,Removed space after qk ending in legarmeih,"{{קו""כ|דבריו|דְּבָר֣וֹ{{מ:לגרמיה}}}}אֲשֶׁר־דִּבֶּ֣ר",
23/03/2021,BD,ויקרא ח כג,Removed space after large ending in legarmeih (in doc),<{{מ:אות-ג|וַיִּשְׁחָ֓ט{{מ:לגרמיה}}}}>,
21/03/2021,BD,במדבר כג יג,move trailing maqaf inside kq template,"{{כו""ק|לך|לְכָה־}}נָּ֨א",T01
21/03/2021,BD,שמואל א כ כד,move trailing maqaf inside kq template,"{{כו""ק|על|אֶל־}}הַלֶּ֖חֶם",NR01
21/03/2021,BD,שמואל א כב טו,move trailing maqaf inside kq template,"{{כו""ק|לשאול|לִשְׁאָל־}}ל֥וֹ",NR02
21/03/2021,BD,שמואל א כח ח,move trailing maqaf inside kq template,"{{כו""ק|קסומי|קָסֳמִי־}}נָ֥א",NR03
21/03/2021,BD,שמואל ב יד ז,move trailing maqaf inside kq template,"{{כו""ק|שום|שִׂים־}}לְאִישִׁ֛י",NR04
21/03/2021,BD,שמואל ב כא ו,move trailing maqaf inside kq template,"{{כו""ק|ינתן|יֻתַּן־}}לָ֜נוּ",NR05
21/03/2021,BD,מלכים א יז יד,move trailing maqaf inside kq template,"{{כו""ק|תתן|תֵּת־}}יְהֹוָ֛ה",NR06
21/03/2021,BD,מלכים ב ג כד,move trailing maqaf inside kq template,"{{כו""ק|ויבו|וַיַּ֨כּוּ־}}בָ֔הּ",NR07
21/03/2021,BD,מלכים ב ו כה,move trailing maqaf inside kq template,"{{כו""ק|חרי|דִּב־}}יוֹנִ֖ים",NR08
21/03/2021,BD,מלכים ב טז יז,move trailing maqaf inside kq template,"{{כו""ק|ואת|אֶת־}}הַכִּיֹּ֔ר",NR09
21/03/2021,BD,מלכים ב כג י,move trailing maqaf inside kq template,"{{כו""ק|בני|בֶן־}}הִנֹּ֑ם",NR10
21/03/2021,BD,ישעיהו י לב,move trailing maqaf inside kq template,"{{כו""ק|בית|בַּת־}}צִיּ֔וֹן",NA01
21/03/2021,BD,ישעיהו סה ז,move trailing maqaf inside kq template,"{{כו""ק|על|אֶל־}}חֵיקָֽם׃",NA02
21/03/2021,BD,ירמיהו ג יט,move trailing maqaf inside kq template,"{{כו""ק|תקראו|תִּקְרְאִי־}}לִ֔י",NA03
21/03/2021,BD,ירמיהו ה ז,move trailing maqaf inside kq template,"{{כו""ק|אסלוח|אֶֽסְלַֽח־}}לָ֔ךְ",NA04
21/03/2021,BD,ירמיהו לג ח,move trailing maqaf inside kq template,"{{כו""ק|לכול|לְכׇל־}}עֲוֺנֽוֹתֵיהֶם֙",NA05
21/03/2021,BD,ירמיהו נב יא,move trailing maqaf inside kq template,"{{כו""ק|בבית|בֵֽית־}}הַפְּקֻדֹּ֖ת",NA06
21/03/2021,BD,יחזקאל ט ה,move trailing maqaf inside kq template,"{{כו""ק|על|אַל־}}תָּחֹ֥ס",NA07
21/03/2021,BD,יחזקאל כד ב,move trailing maqaf inside kq template,"{{כו""ק|כתוב|כְּתׇב־}}לְךָ֙",NA08
21/03/2021,BD,יחזקאל לו יד,move trailing maqaf inside kq template,"{{כו""ק|תכשלי|תְשַׁכְּלִי־}}ע֑וֹד",NA09
21/03/2021,BD,הושע ט טז,move trailing maqaf inside kq template,"{{כו""ק|בלי|בַֽל־}}יַעֲשׂ֑וּן",NA10
21/03/2021,BD,עמוס ח ד,move trailing maqaf inside kq template,"{{כו""ק|ענוי|עֲנִיֵּי־}}אָֽרֶץ׃",NA11
21/03/2021,BD,נחום ב א,move trailing maqaf inside kq template,"{{כו""ק|לעבור|לַעֲבׇר־}}בָּ֥ךְ",NA12
21/03/2021,BD,רות ד ו,move trailing maqaf inside kq template,"{{כו""ק|לגאול|לִגְאׇל־}}לִ֔י",5M01
